cic,industry,obs,employment,members,covered,percentmem,percentcov,year
1000,"AGRICULTURE, FORESTRY, FISHING, & HUNTING",1859000,1319368,21406,33525,1.62,2.54,2015
170,Crop production,853000,691333,5144,9163,0.74,1.33,2015
180,Animal production,638000,388607,7630,10045,1.96,2.58,2015
190,Forestry except logging,83000,45659,4638,9447,10.16,20.69,2015
270,Logging,97000,57955,201,201,0.35,0.35,2015
280,"Fishing, hunting, and trapping",52000,30002,1370,1370,4.57,4.57,2015
290,Support activities for agriculture and forestry,136000,105810,2421,3296,2.29,3.12,2015
2000,MINING,1535000,866918,46838,57355,5.4,6.62,2015
370,Oil and gas extraction,141000,97690,4248,4946,4.35,5.06,2015
380,Coal mining,180000,63622,9307,9770,14.63,15.36,2015
390,Metal ore mining,80000,48355,6667,8406,13.79,17.39,2015
470,"Nonmetallic mineral and not specified mining, and quarrying",158000,85270,11888,13295,13.94,15.59,2015
490,Support activities for mining,976000,571979,14725,20936,2.57,3.66,2015
3000,UTILITIES,10773000,8774495,1336330,1419378,15.23,16.18,2015
570,"Electric power generation, transmission and distribution",902000,677382,145237,152465,21.44,22.51,2015
580,Natural gas distribution,175000,124185,30779,31171,24.79,25.1,2015
590,"Electric and gas, and other combinations",102000,85317,26963,26963,31.6,31.6,2015
670,"Water, steam, air conditioning, and irrigation systems",328000,268794,60165,69849,22.38,25.99,2015
680,Sewage treatment facilities,123000,90747,20296,24847,22.37,27.38,2015
690,Not specified utilities,49000,35092,3378,3378,9.63,9.63,2015
770,CONSTRUCTION,9094000,7492975,1049508,1110701,14.01,14.82,2015
4000,NONDURABLE GOODS MANUFACTURING,6489000,5268563,495929,530719,9.41,10.07,2015
1070,"Animal food, grain, and oilseed milling",181000,141996,24122,24122,16.99,16.99,2015
1080,Sugar and confectionery products,108000,79213,6250,6250,7.89,7.89,2015
1090,Fruit and vegetable preserving and specialty food manufacturing,201000,157138,11604,12170,7.38,7.75,2015
1170,Dairy product manufacturing,198000,139325,8561,9202,6.15,6.61,2015
1180,Animal slaughtering and processing,697000,498553,89277,93347,17.91,18.72,2015
1190,Retail bakeries,271000,218712,25380,25570,11.6,11.69,2015
1270,"Bakeries, except retail",211000,184440,26284,28310,14.25,15.35,2015
1280,"Seafood and other miscellaneous foods, n.e.c.",262000,195478,17740,21575,9.08,11.04,2015
1290,Not specified food industries,52000,45266,5258,5258,11.62,11.62,2015
1370,Beverage manufacturing,246000,226128,29865,29865,13.21,13.21,2015
1390,Tobacco manufacturing,27000,26911,823,823,3.06,3.06,2015
1470,"Fiber, yarn, and thread mills",14000,14078,1176,1176,8.36,8.36,2015
1480,"Fabric mills, except knitting",121000,102858,2239,2239,2.18,2.18,2015
1490,Textile and fabric finishing and coating mills,14000,9738,315,315,3.24,3.24,2015
1570,Carpet and rug mills,70000,72158,1181,1181,1.64,1.64,2015
1590,"Textile product mills, except carpet and rug",88000,64388,4625,5453,7.18,8.47,2015
1670,"Knitting mills, and apparel knitting mills",22000,12881,752,1352,5.84,10.5,2015
1680,Cut and sew apparel manufacturing,226000,213403,9313,10762,4.36,5.04,2015
1690,Apparel accessories and other apparel manufacturing,8000,6387,1102,1102,17.26,17.26,2015
1770,Footwear manufacturing,44000,34310,640,640,1.87,1.87,2015
1790,Leather tanning and finishing and other allied products manufacturing,14000,10577,0,0,0.0,0.0,2015
1870,"Pulp, paper, and paperboard mills",277000,202753,57492,60377,28.36,29.78,2015
1880,Paperboard containers and boxes,99000,86222,7697,8595,8.93,9.97,2015
1890,Miscellaneous paper and pulp products,89000,75647,3505,4297,4.63,5.68,2015
1990,Printing and related support activities,531000,449170,21303,23528,4.74,5.24,2015
2070,Petroleum refining,231000,175259,21253,23020,12.13,13.13,2015
2090,Miscellaneous petroleum and coal products,26000,20739,0,0,0.0,0.0,2015
2170,"Resin, synthetic rubber and fibers, and filaments manufacturing",190000,159782,7983,8315,5.0,5.2,2015
2180,Agricultural chemical manufacturing,55000,40389,1383,1383,3.43,3.43,2015
2190,Pharmaceutical and medicine manufacturing,552000,490472,10629,12178,2.17,2.48,2015
2270,"Paint, coating, and adhesives manufacturing",74000,67318,2117,2117,3.15,3.15,2015
2280,"Soap, cleaning compound, and cosmetic manufacturing",155000,140449,10921,11127,7.78,7.92,2015
2290,Industrial and miscellaneous chemicals,525000,419690,51657,58807,12.31,14.01,2015
2370,Plastics product manufacturing,455000,361746,12855,15635,3.55,4.32,2015
2380,Tire manufacturing,60000,53195,16999,16999,31.96,31.96,2015
2390,"Rubber products, except tires, manufacturing",95000,71779,3613,3613,5.03,5.03,2015
5000,DURABLE GOODS MANUFACTURING,11023000,9344247,883095,946149,9.45,10.13,2015
2470,"Pottery, ceramics, and plumbing fixture manufacturing",21000,16272,463,463,2.85,2.85,2015
2480,Structural clay product manufacturing,31000,23992,2741,2741,11.43,11.43,2015
2490,Glass and glass product manufacturing,169000,149813,24072,25231,16.07,16.84,2015
2570,"Cement, concrete, lime, and gypsum product manufacturing",208000,171563,16165,19011,9.42,11.08,2015
2590,Miscellaneous nonmetallic mineral product manufacturing,100000,80433,9364,10432,11.64,12.97,2015
2670,Iron and steel mills and steel product manufacturing,344000,299389,83937,87387,28.04,29.19,2015
2680,Aluminum production and processing,71000,60342,15371,16015,25.47,26.54,2015
2690,Nonferrous metal (except aluminum) production and processing,72000,57618,6679,6679,11.59,11.59,2015
2770,Foundries,88000,83424,10860,11113,13.02,13.32,2015
2780,Metal forgings and stampings,72000,64056,6163,7310,9.62,11.41,2015
2790,Cutlery and hand tool manufacturing,44000,35560,1009,1009,2.84,2.84,2015
2870,"Structural metals, and boiler, tank, and shipping container manufacturing",429000,353744,36434,36797,10.3,10.4,2015
2880,"Machine shops; turned product; screw, nut, and bolt manufacturing",333000,265917,7658,9929,2.88,3.73,2015
2890,"Coating, engraving, heat treating and allied activities",79000,65915,2786,2786,4.23,4.23,2015
2970,Ordnance,70000,42488,6556,7744,15.43,18.23,2015
2980,Miscellaneous fabricated metal products manufacturing,332000,279050,27133,29680,9.72,10.64,2015
2990,Not specified metal industries,36000,35269,888,888,2.52,2.52,2015
3070,Agricultural implement manufacturing,182000,122404,13525,15050,11.05,12.3,2015
3080,"Construction, and mining and oil and gas field machinery manufacturing",259000,203242,11317,12166,5.57,5.99,2015
3095,Commercial and service industry machinery manufacturing,84000,67513,1392,2468,2.06,3.66,2015
3170,Metalworking machinery manufacturing,145000,123835,8957,10056,7.23,8.12,2015
3180,"Engines, turbines, and power transmission equipment manufacturing",71000,60027,6825,7313,11.37,12.18,2015
3190,"Machinery manufacturing, n.e.c.",753000,657760,43286,49226,6.58,7.48,2015
3365,Computer and peripheral equipment manufacturing,242000,218102,118,118,0.05,0.05,2015
3370,"Communications, and audio and video equipment manufacturing",135000,126792,1486,1486,1.17,1.17,2015
3380,"Navigational, measuring, electromedical, and control instruments manufacturing",261000,213012,6434,6870,3.02,3.23,2015
3390,"Electronic component and product manufacturing, n.e.c.",723000,591681,19484,22316,3.29,3.77,2015
3470,Household appliance manufacturing,92000,82175,10854,10954,13.21,13.33,2015
3490,"Electrical lighting and electrical equipment manufacturing, and other electrical",344000,294790,22468,23531,7.62,7.98,2015
3570,Motor vehicles and motor vehicle equipment manufacturing,1352000,1286433,215697,222188,16.77,17.27,2015
3580,Aircraft and parts manufacturing,847000,708000,105269,112438,14.87,15.88,2015
3590,Aerospace product and parts manufacturing,125000,114753,9003,10495,7.85,9.15,2015
3670,Railroad rolling stock manufacturing,48000,43283,15280,15280,35.3,35.3,2015
3680,Ship and boat building,237000,157318,25413,30238,16.15,19.22,2015
3690,Other transportation equipment manufacturing,51000,46467,5313,6443,11.44,13.87,2015
3770,Sawmills and wood preservation,182000,118987,5711,6342,4.8,5.33,2015
3780,"Veneer, plywood, and engineered wood products",58000,49211,4149,4514,8.43,9.17,2015
3790,Prefabricated wood buildings and mobile homes,40000,36085,0,0,0.0,0.0,2015
3875,Miscellaneous wood products,218000,184820,8128,8245,4.4,4.46,2015
3895,Furniture and related product manufacturing,465000,373163,13220,15109,3.54,4.05,2015
3960,Medical equipment and supplies manufacturing,660000,554574,12977,12977,2.34,2.34,2015
3970,"Sporting and athletic goods, and doll, toy and game manufacturing",128000,98293,7396,7396,7.52,7.52,2015
3980,"Miscellaneous manufacturing, n.e.c.",550000,465657,31238,33150,6.71,7.12,2015
3990,Not specified manufacturing industries,272000,261007,19852,24545,7.61,9.4,2015
6000,WHOLESALE TRADE,4024000,3348928,126847,139649,3.79,4.17,2015
4070,"Motor vehicles, parts and supplies, merchant wholesalers",167000,143847,9884,10854,6.87,7.55,2015
4080,"Furniture and home furnishing, merchant wholesalers",62000,59901,2236,4512,3.73,7.53,2015
4090,"Lumber and other construction materials, merchant wholesalers",200000,164037,7166,9077,4.37,5.53,2015
4170,"Professional and commercial equipment and supplies, merchant wholesalers",363000,311659,9802,10549,3.15,3.38,2015
4180,"Metals and minerals, except petroleum, merchant wholesalers",63000,53315,2174,2174,4.08,4.08,2015
4195,"Electrical and electronic goods, merchant wholesalers",229000,208882,4699,4699,2.25,2.25,2015
4265,"Hardware, plumbing and heating equipment, and supplies, merchant wholesalers",172000,135112,1312,1312,0.97,0.97,2015
4270,"Machinery, equipment, and supplies, merchant wholesalers",439000,327139,7745,7745,2.37,2.37,2015
4280,"Recyclable material, merchant wholesalers",101000,95394,3470,4508,3.64,4.73,2015
4290,"Miscellaneous durable goods, merchant wholesalers",101000,82800,197,197,0.24,0.24,2015
4370,"Paper and paper products, merchant wholesalers",60000,48198,3047,3047,6.32,6.32,2015
4380,"Drugs, sundries, and chemical and allied products, merchant wholesalers",254000,226303,2464,2464,1.09,1.09,2015
4390,"Apparel, fabrics, and notions, merchant wholesalers",111000,112514,2518,2518,2.24,2.24,2015
4470,"Groceries and related products, merchant wholesalers",928000,774730,57257,61136,7.39,7.89,2015
4480,"Farm product raw materials, merchant wholesalers",117000,71339,0,488,0.0,0.68,2015
4490,"Petroleum and petroleum products, merchant wholesalers",154000,100998,2228,2465,2.21,2.44,2015
4560,"Alcoholic beverages, merchant wholesalers",140000,117397,7109,8365,6.06,7.13,2015
4570,"Farm supplies, merchant wholesalers",75000,46909,985,985,2.1,2.1,2015
4580,"Miscellaneous nondurable goods, merchant wholesalers",189000,169924,1330,1330,0.78,0.78,2015
4585,"Wholesale electronics markets, agents and brokers",54000,56648,0,0,0.0,0.0,2015
4590,Not specified wholesale trade,45000,41870,1213,1213,2.9,2.9,2015
7000,RETAIL TRADE,18952000,15577052,759986,841590,4.88,5.4,2015
4670,Automobile dealers,1492000,1229875,48250,49402,3.92,4.02,2015
4680,Other motor vehicle dealers,174000,120435,0,0,0.0,0.0,2015
4690,"Auto parts, accessories, and tire stores",613000,498399,7483,7755,1.5,1.56,2015
4770,Furniture and home furnishings stores,546000,462366,8017,10844,1.73,2.35,2015
4780,Household appliance stores,67000,53276,1971,1971,3.7,3.7,2015
4795,"Radio, TV, and computer stores",642000,566966,16086,18759,2.84,3.31,2015
4870,Building material and supplies dealers,1189000,938893,21299,26847,2.27,2.86,2015
4880,Hardware stores,253000,176567,2896,3981,1.64,2.25,2015
4890,Lawn and garden equipment and supplies stores,363000,250218,2322,2322,0.93,0.93,2015
4970,Grocery stores,3301000,2720585,420516,443789,15.46,16.31,2015
4980,Specialty food stores,265000,226702,7297,11338,3.22,5.0,2015
4990,"Beer, wine, and liquor stores",159000,126907,3382,3382,2.67,2.67,2015
5070,Pharmacies and drug stores,1059000,885035,58019,62101,6.56,7.02,2015
5080,"Health and personal care, except drug, stores",395000,349020,13379,16911,3.83,4.85,2015
5090,Gasoline stations,666000,507158,11240,13683,2.22,2.7,2015
5170,Clothing stores,1122000,1030645,11517,18520,1.12,1.8,2015
5180,Shoe stores,177000,172257,465,465,0.27,0.27,2015
5190,"Jewelry, luggage, and leather goods stores",165000,139025,1459,1459,1.05,1.05,2015
5275,"Sporting goods, camera, and hobby and toy stores",616000,469675,4183,5811,0.89,1.24,2015
5280,"Sewing, needlework and piece goods stores",72000,56507,1635,1635,2.89,2.89,2015
5295,Music stores,34000,27875,0,0,0.0,0.0,2015
5370,Book stores and news dealers,119000,95825,1132,1132,1.18,1.18,2015
5380,Department stores and discount stores,2637000,2081630,56145,64902,2.7,3.12,2015
5390,Miscellaneous general merchandise stores,698000,568349,20004,26420,3.52,4.65,2015
5470,Retail florists,93000,79940,1088,1088,1.36,1.36,2015
5480,Office supplies and stationery stores,174000,144271,3183,3183,2.21,2.21,2015
5490,Used merchandise stores,254000,212044,2142,2142,1.01,1.01,2015
5570,"Gift, novelty, and souvenir shops",122000,95888,2269,3294,2.37,3.44,2015
5580,Miscellaneous retail stores,477000,393100,6009,7428,1.53,1.89,2015
5590,Electronic shopping,225000,209377,885,3458,0.42,1.65,2015
5591,Electronic auctions,12000,9233,0,0,0.0,0.0,2015
5592,Mail order houses,102000,98510,3802,3802,3.86,3.86,2015
5670,Vending machine operators,53000,48953,5192,5192,10.61,10.61,2015
5680,Fuel dealers,122000,78865,3359,3359,4.26,4.26,2015
5690,Other direct selling establishments,99000,78575,2623,3425,3.34,4.36,2015
5790,Not specified retail trade,395000,374093,10722,11775,2.87,3.15,2015
8000,TRANSPORTATION & WAREHOUSING,6843000,5749819,1489269,1578645,25.9,27.46,2015
6070,Air transportation,650000,541762,235890,241167,43.54,44.52,2015
6080,Rail transportation,367000,247009,154550,158951,62.57,64.35,2015
6090,Water transportation,83000,62050,11761,11761,18.95,18.95,2015
6170,Truck transportation,1888000,1587272,149455,162160,9.42,10.22,2015
6180,Bus service and urban transit,583000,479717,168485,179510,35.12,37.42,2015
6190,Taxi and limousine service,234000,226045,26385,28915,11.67,12.79,2015
6270,Pipeline transportation,78000,50512,4971,4971,9.84,9.84,2015
6280,Scenic and sightseeing transportation,40000,21970,188,188,0.86,0.86,2015
6290,Services incidental to transportation,839000,715328,105321,109981,14.72,15.37,2015
6370,Postal Service,814000,671313,426140,460782,63.48,68.64,2015
6380,Couriers and messengers,797000,697838,177477,186793,25.43,26.77,2015
6390,Warehousing and storage,470000,448998,28640,33461,6.38,7.45,2015
9000,INFORMATION,3236000,2693880,247390,284782,9.18,10.57,2015
6470,Newspaper publishers,263000,181368,11881,13100,6.55,7.22,2015
6480,"Periodical, book, and directory publishers",266000,224374,6054,7055,2.7,3.14,2015
6490,Software publishers,100000,89839,1543,1543,1.72,1.72,2015
6570,Motion pictures and video industries,330000,293201,36818,40453,12.56,13.8,2015
6590,Sound recording industries,25000,25374,2180,2180,8.59,8.59,2015
6670,Radio and television broadcasting and cable subscription programming,681000,570391,38348,49903,6.72,8.75,2015
6672,Internet publishing and broadcasting and web search portals,89000,86261,1057,1593,1.23,1.85,2015
6680,Wired telecommunications carriers,601000,502033,85370,93093,17.01,18.54,2015
6690,Other telecommunication services,467000,387817,34364,40132,8.86,10.35,2015
6695,"Data processing, hosting, and related services",101000,88761,1868,3584,2.11,4.04,2015
6770,Libraries and archives,249000,195850,27744,31981,14.17,16.33,2015
6780,Other information services,64000,48604,158,158,0.33,0.33,2015
10000,FINANCE & INSURANCE,8103000,6685204,126301,157367,1.89,2.35,2015
6870,Banking and related activities,2535000,2023313,22764,32446,1.13,1.6,2015
6880,"Savings institutions, including credit unions",298000,226408,6686,7022,2.95,3.1,2015
6890,Non-depository credit and related activities,1110000,971112,15505,18413,1.6,1.9,2015
6970,"Securities, commodities, funds, trusts, and other financial investments",1116000,964240,14929,18473,1.55,1.92,2015
6990,Insurance carriers and related activities,3044000,2500129,66416,81011,2.66,3.24,2015
11000,REAL ESTATE & RENTAL & LEASING,2749000,2300993,127884,139011,5.56,6.04,2015
7070,Real estate,2309000,1945367,113955,122998,5.86,6.32,2015
7080,Automotive equipment rental and leasing,197000,170292,7887,8707,4.63,5.11,2015
7170,Video tape and disk rental,12000,8820,0,0,0.0,0.0,2015
7180,Other consumer goods rental,106000,81696,2272,2272,2.78,2.78,2015
7190,"Commercial, industrial, and other intangible assets rental and leasing",125000,94815,3767,5033,3.97,5.31,2015
12000,"PROF., SCIENTIFIC, TECHNICAL SERVICES",10384000,8598090,181940,265831,2.12,3.09,2015
7270,Legal services,1646000,1283595,29329,35519,2.28,2.77,2015
7280,"Accounting, tax preparation, bookkeeping, and payroll services",1030000,869421,7618,19560,0.88,2.25,2015
7290,"Architectural, engineering, and related services",1684000,1344236,64114,78412,4.77,5.83,2015
7370,Specialized design services,233000,209276,3235,6111,1.55,2.92,2015
7380,Computer systems design and related services,2559000,2289121,22640,51183,0.99,2.24,2015
7390,"Management, scientific, and technical consulting services",1315000,1037402,16155,25047,1.56,2.41,2015
7460,Scientific research and development services,710000,545235,23749,29043,4.36,5.33,2015
7470,Advertising and related services,493000,430617,5359,7052,1.24,1.64,2015
7480,Veterinary services,403000,322361,2428,5485,0.75,1.7,2015
7490,"Other professional, scientific, and technical services",311000,266821,7308,8416,2.74,3.15,2015
13000,MANAGEMENT & RELATED SERVICES,6480000,5610439,258717,294408,4.61,5.25,2015
7570,Management of companies and enterprises,221000,180665,5311,5311,2.94,2.94,2015
7580,Employment services,1065000,953151,21984,30066,2.31,3.15,2015
7590,Business support services,836000,716148,12041,16061,1.68,2.24,2015
7670,Travel arrangements and reservation services,314000,258520,11596,13467,4.49,5.21,2015
7680,Investigation and security services,845000,742602,50761,55549,6.84,7.48,2015
